question_id,N,sign_entropy_gt,sign_entropy_ge,zero_mass,active_coordinates,cv_sigma,zero_variance_coordinates,top32_share,first32_share,first32_top32_intersection,corr_off_mass,corr_median_abs,corr_p95_abs,residual_mean_max_abs
078150f1,551,0.9962033790878486,0.9962033790878486,0.0,96,0.5302992036081664,0,0.7702049393924825,0.7702049393924825,32,0.1836027950192535,0.006478731378590945,0.028766378907234897,5.884836880754715e-17
07b6f563,524,0.9971820503904251,0.9971820503904251,0.0,96,0.5037177056613584,0,0.7637238868098873,0.7637238868098873,32,0.15991218023611095,0.005148071129112497,0.02028052080443575,7.807579858289507e-17
0862e8bf,490,0.9971783206157845,0.9971783206157845,0.0,96,0.5018117684946058,0,0.7598179122550042,0.7598179122550042,32,0.15493595139545333,0.005140513711638229,0.01793604237979874,8.808146955572033e-17
08e075c7,484,0.9954784713092838,0.9954784713092838,0.0,96,0.5035873962469367,0,0.7665444074085397,0.7665444074085397,32,0.14575119612115164,0.003780085700753705,0.01302194584097368,1.829344756484633e-16
08f4fc43,480,0.9962982352029188,0.9962982352029188,0.0,96,0.48285623446045534,0,0.749832152869287,0.7498321528692871,32,0.15561881549292192,0.005353544399138495,0.01827130816468586,1.0350516739994949e-16
0977f2af,484,0.9948324194007515,0.9948324194007515,0.0,96,0.4980500976313132,0,0.7562059959125507,0.7562059959125508,32,0.15874882085168382,0.005394755849494203,0.01986553180052313,4.719594779269131e-17
099778bb,466,0.9960976310811462,0.9960976310811462,0.0,96,0.49553864179377255,0,0.7580336280864713,0.7580336280864713,32,0.1520008660751152,0.004620424025927472,0.01679371784411552,2.221041662460949e-16
09ba9854,479,0.9978917839813701,0.9978917839813701,0.0,96,0.4970674190335393,0,0.7630894845645373,0.7630894845645372,32,0.14862922589592006,0.004127319966289297,0.014039190854405952,1.5749405954755613e-16
09d032c9,481,0.997938841156325,0.997938841156325,0.0,96,0.5009725950171604,0,0.763733355310692,0.763733355310692,32,0.14750990758675922,0.004397499291658275,0.015038643850904695,3.3018171241710734e-16
0a34ad58,485,0.9978788411085281,0.9978788411085281,0.0,96,0.5003125284718577,0,0.7657059655603251,0.7657059655603251,32,0.15239920796052356,0.004548393590474974,0.01611907727093636,1.5457280358312101e-16
0a995998,484,0.9966890138198679,0.9966890138198679,0.0,96,0.49140096640379977,0,0.7582605148175502,0.7582605148175502,32,0.1461200982689445,0.004021228228642563,0.013882981176045268,4.20921332683298e-17
0bb5a684,463,0.99680258853852,0.99680258853852,0.0,96,0.4876700212669452,0,0.7525771615375355,0.7525771615375355,32,0.1515751348294997,0.004561226487486384,0.01663492790148658,7.205659155504526e-17
0bc8ad92,443,0.9966601794236611,0.9966601794236611,0.0,96,0.4822286810734345,0,0.7485849742454116,0.7485849742454116,32,0.15084571670210134,0.0049206331412803925,0.01709908526204648,3.458482559780397e-16
0bc8ad93,486,0.9973267106634096,0.9973267106634096,0.0,96,0.49819887867213536,0,0.7613533899093259,0.7613533899093259,32,0.14978365248318878,0.0041758642562362705,0.01482840658203321,3.679041525018137e-16
0db4c65d,462,0.997196327923807,0.997196327923807,0.0,96,0.4957176873579001,0,0.7590605338737627,0.7590605338737627,32,0.15031455368812363,0.004492890428445772,0.016356010680268148,1.2856478748364907e-16
0ddfec37,483,0.9974603554677732,0.9974603554677732,0.0,96,0.4937600259191747,0,0.7601370201861669,0.7601370201861669,32,0.15106757509548313,0.004517014696355371,0.015849545338511635,1.8331322197485764e-16
0e4e4c46,481,0.9971228487527098,0.9971228487527098,0.0,96,0.4940172319468462,0,0.7610081747163311,0.7610081747163311,32,0.14629311772240908,0.003966043812160121,0.013414016709286295,4.131599197669502e-17
0e5e2d1a,450,0.9975109033443266,0.9975109033443266,0.0,96,0.4881582601280384,0,0.7533564858221108,0.7533564858221108,32,0.1539887839223317,0.004798178612841111,0.019098995519594545,2.980332030549309e-16
0ea62687,460,0.99693983754053,0.99693983754053,0.0,96,0.4949247894976907,0,0.76041781064906,0.7604178106490599,32,0.14725660632770096,0.0039109686714664475,0.014202640966442236,4.8315819943945334e-17
0edc2aef,475,0.996097641330743,0.996097641330743,0.0,96,0.4992523217365712,0,0.7632636889827678,0.7632636889827675,32,0.15408075187691309,0.005090117883350329,0.017659408079474304,2.3858108471286915e-16
0f05491a,489,0.9971068157678995,0.9971068157678995,0.0,96,0.4957667389720809,0,0.7626830166024139,0.7626830166024139,32,0.15104705323642964,0.004577870120696152,0.016338021221893595,2.0898983520806884e-16
10d9b85a,466,0.9972866824707408,0.9972866824707408,0.0,96,0.48850749041371555,0,0.7573502059345923,0.7573502059345922,32,0.1491899699908631,0.004584843556326754,0.014926036307212405,1.4002866582047978e-16
10e09553,472,0.9969566125334121,0.9969566125334121,0.0,96,0.48959222436225774,0,0.7571263432456938,0.7571263432456938,32,0.15073772171584573,0.0044993062678387935,0.016332993127175673,8.885312448138832e-17
118b2229,485,0.998218897275323,0.998218897275323,0.0,96,0.49768395467752313,0,0.7602827727707401,0.7602827727707401,32,0.15385709681050133,0.0046188402922360955,0.016927020521453194,2.80302699722372e-16
