question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
09ba9854,HAMMING,ITQ96_CENTERED,303.0,23.0,23.0,48.19287211740042,49.0,16.0,12.0,25.19287211740042,
09ba9854,HAMMING,ITQ96_CENTERED,404.0,18.5,18.5,48.276729559748425,49.0,15.0,13.0,29.776729559748425,
09ba9854,HAMMING,ITQ96_CENTERED,505.0,20.5,20.5,47.874213836477985,49.0,16.0,10.0,27.374213836477985,
09ba9854,COSINE,FLOAT96_UNCENTERED,,0.78722897601551,0.78722897601551,0.05820978148539369,0.027322783397219594,0.837396181098805,0.8285880790715017,-0.7290191945301163,0.7290191945301163
09ba9854,COSINE,FLOAT96_CENTERED,,0.7804644389049794,0.7804644389049794,-0.004137779314802391,-0.028312718450886273,0.8300913608506587,0.8206662274890507,-0.7846022182197818,0.7846022182197818
09d032c9,HAMMING,SIGN96_CENTERED,,58.0,58.0,47.860416666666666,48.0,58.0,30.0,-10.139583333333334,
09d032c9,HAMMING,ITQ96_CENTERED,101.0,48.0,48.0,47.89375,49.0,48.0,24.0,-0.10625000000000284,
09d032c9,HAMMING,ITQ96_CENTERED,202.0,43.0,43.0,48.21875,49.0,43.0,23.0,5.21875,
09d032c9,HAMMING,ITQ96_CENTERED,303.0,44.0,44.0,48.05416666666667,48.0,44.0,28.0,4.054166666666667,
09d032c9,HAMMING,ITQ96_CENTERED,404.0,52.0,52.0,47.827083333333334,49.0,52.0,25.0,-4.172916666666666,
09d032c9,HAMMING,ITQ96_CENTERED,505.0,46.0,46.0,47.97708333333333,48.0,46.0,30.0,1.9770833333333329,
09d032c9,COSINE,FLOAT96_UNCENTERED,,0.1651717976147074,0.1651717976147074,0.1669684148429301,0.1386406801026462,0.1651717976147074,0.5839225108893009,0.001796617228222691,-0.001796617228222691
09d032c9,COSINE,FLOAT96_CENTERED,,0.012255656870499494,0.012255656870499494,0.0015822822428924372,-0.037619778461219,0.012255656870499494,0.48561255200361475,-0.010673374627607056,0.010673374627607056
0a34ad58,HAMMING,SIGN96_CENTERED,,50.5,50.5,47.7536231884058,48.0,50.0,32.0,-2.746376811594203,
0a34ad58,HAMMING,ITQ96_CENTERED,101.0,30.5,30.5,48.219461697722565,49.0,28.0,17.0,17.719461697722565,
0a34ad58,HAMMING,ITQ96_CENTERED,202.0,28.5,28.5,48.08281573498965,49.0,27.0,20.0,19.58281573498965,
0a34ad58,HAMMING,ITQ96_CENTERED,303.0,21.0,21.0,48.16356107660455,49.0,20.0,13.0,27.16356107660455,
0a34ad58,HAMMING,ITQ96_CENTERED,404.0,25.0,25.0,48.20910973084886,49.0,24.0,14.0,23.20910973084886,
0a34ad58,HAMMING,ITQ96_CENTERED,505.0,29.0,29.0,48.1407867494824,49.0,29.0,15.0,19.1407867494824,
0a34ad58,COSINE,FLOAT96_UNCENTERED,,0.5697806387384015,0.5697806387384015,0.13683625195129184,0.09603156044251408,0.5798711081544403,0.7276512570244182,-0.4329443867871096,0.4329443867871096
0a34ad58,COSINE,FLOAT96_CENTERED,,0.5057309194630386,0.5057309194630386,-0.0009352200469770801,-0.046418568569031246,0.5219636170564036,0.694377721964157,-0.5066661395100157,0.5066661395100157
0a995998,HAMMING,SIGN96_CENTERED,,29.0,29.0,47.727650727650726,48.0,15.0,26.0,18.727650727650726,
0a995998,HAMMING,ITQ96_CENTERED,101.0,29.666666666666668,33.0,48.04158004158004,49.0,21.0,18.0,18.374913374913373,
0a995998,HAMMING,ITQ96_CENTERED,202.0,22.333333333333332,25.0,48.002079002079,49.0,14.0,24.0,25.668745668745668,
0a995998,HAMMING,ITQ96_CENTERED,303.0,23.0,24.0,48.07692307692308,49.0,14.0,21.0,25.07692307692308,
0a995998,HAMMING,ITQ96_CENTERED,404.0,23.333333333333332,28.0,48.42203742203742,50.0,12.0,22.0,25.088704088704088,
0a995998,HAMMING,ITQ96_CENTERED,505.0,26.333333333333332,31.0,48.05197505197505,49.0,17.0,21.0,21.718641718641717,
0a995998,COSINE,FLOAT96_UNCENTERED,,0.6426551594964068,0.556066775002173,0.1052628194789581,0.060247968838925775,0.842530721095974,0.7542242269885182,-0.5373923400174487,0.5373923400174487
