question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
gpt4_18c2b244,495,39803,54733,94568,1.3904516989998683,4.714458245999822,1.2309196979999797,0.04756379800005561,0.85229159910243,0.9997967417173518,0.9475131671736479
gpt4_1916e0ea,533,40335,60191,100558,1.0364848149999943,4.8093343240000195,1.1493054249995112,0.044107805000066946,0.8386371280265761,1.0071576365869315,0.9065579137635963
gpt4_194be4b3,474,38545,58072,96649,1.9761077440000463,6.0527135769998495,1.7080304289997912,0.04502405399989584,0.851931107536146,0.9974546252027475,0.9577146405375396
gpt4_1a1dc16d,453,39213,56137,95382,1.0858482029998413,5.831466364000107,1.20479395700022,0.06099535099997411,0.8198430908315119,1.0097986783521415,0.9448056239533933
gpt4_1d4ab0c9,483,39753,63047,102832,2.195409466000001,5.855445801000087,1.4442555489999904,0.0827674049999132,0.7983727679181168,1.0189883695648596,0.9595797160162077
gpt4_1d80365e,517,40781,59881,100694,2.079068002999975,5.402913009000031,1.2961714219998157,0.026125452000087535,0.823437207650538,1.0165857321517024,0.9806041278871294
gpt4_1e4a8aeb,479,38070,56805,94907,1.2846461369999815,4.173877679000043,1.226880693999874,0.017334272000198325,0.8503369827655706,1.021530025051553,0.9474644426824113
gpt4_1e4a8aec,498,39694,58940,98666,4.044826062000084,5.617799916999957,1.101621038000303,0.01746013399997537,0.8471717637988492,1.0039082441671119,0.9639440559915669
gpt4_213fd887,446,39392,58843,98267,2.4692439530001593,4.038214093999841,1.196324004999724,0.03495395599998119,0.8691275250096407,1.0144040576479942,0.9714524801987708
gpt4_21adecb5,511,40220,59288,99540,1.5017370059999848,3.808871769999996,1.2404855409997708,0.051561592000098244,0.8309254067842168,1.0077086881394133,0.9336826193636547
gpt4_2312f94c,467,38678,58395,97105,1.2384379480001826,4.897646428000144,1.459959309000169,0.042759316999990915,0.8400580707671341,1.024122625356202,0.9835493638726649
gpt4_2487a7cb,495,38428,54332,92792,1.1954611849998855,3.8061003430000255,1.1681050780002806,0.018331470000021,0.8471589269309647,1.0152638422348954,0.9366175223715172
gpt4_2655b836,465,39638,57308,96978,1.3769040110000788,5.385434438999937,1.3055602420001833,0.03640036199999486,0.8522024338185467,1.002342021686275,0.9459600589349761
gpt4_2ba83207,502,39997,58965,98994,1.1325536860001648,4.863344697999992,1.4709655009999096,0.07034982699997272,0.8306839657945461,1.0160352824428336,0.916337562171529
gpt4_2c50253f,591,39329,56029,95390,1.7467359590000342,5.103648922000048,1.4388515810001081,0.06243475299993406,0.7951710888207482,1.0234332139281037,0.9284301094546539
gpt4_2d58bcd6,483,39079,58858,97969,1.2378657209999346,4.1202453589999095,1.0669621790000292,0.020885098999997354,0.8345620202424822,1.0248734908716586,0.9781648790350466
gpt4_2f56ae70,458,39219,59167,98418,1.2847660899999482,4.583131744999946,1.2283071309996103,0.03639759099996809,0.8712802634474247,1.0169014282572275,0.8833408399630724
gpt4_2f584639,472,38484,57886,96402,1.7862348590001602,5.039163916999996,1.0898548350003239,0.05114552999998523,0.8388535891740646,1.0313036265079119,0.9880506880225155
gpt4_2f8be40d,474,39224,56144,95400,1.1123953409999103,4.510808850000103,1.4115106300000662,0.031166008000127476,0.8353861673545023,1.0128377926105945,0.9366289682130021
gpt4_2f91af09,515,38924,55520,94476,1.6004164679998212,5.103338760000042,2.123925935999978,0.05873257999996895,0.8475711945491838,1.010304899744683,0.9421360014235355
gpt4_31ff4165,457,39055,57319,96406,1.2790971469999022,5.46748016100014,1.4936317630001668,0.05660462699984237,0.8647855405558899,0.9993232627451356,0.9081739047876797
gpt4_372c3eed,465,38613,56740,95385,1.7265008519998446,5.263290696000013,2.0093706230002226,0.03399628900001517,0.8503544583066571,1.0063598861288579,0.919236689786364
