question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
85fa3a3f,ITQ96_CENTERED,101.0,493,5.0,1.0,7.0,1.0,1.0,0.0,,,
85fa3a3f,ITQ96_CENTERED,202.0,493,8.0,3.0,8.0,3.0,3.0,0.0,,,
85fa3a3f,ITQ96_CENTERED,303.0,493,6.0,1.0,9.0,4.0,1.0,1.0,,,
85fa3a3f,ITQ96_CENTERED,404.0,493,5.0,1.0,6.0,2.0,2.0,0.0,,,
85fa3a3f,ITQ96_CENTERED,505.0,493,5.0,1.0,8.0,2.0,1.0,1.0,,,
86b68151,SIGN96_CENTERED,,485,15.0,1.0,16.0,2.0,2.0,0.0,,,
86b68151,ITQ96_CENTERED,101.0,485,5.0,1.0,7.0,1.0,1.0,0.0,,,
86b68151,ITQ96_CENTERED,202.0,485,6.0,1.0,7.0,2.0,2.0,0.0,,,
86b68151,ITQ96_CENTERED,303.0,485,6.0,2.0,8.0,2.0,1.0,1.0,,,
86b68151,ITQ96_CENTERED,404.0,485,2.0,2.0,4.0,2.0,1.0,1.0,,,
86b68151,ITQ96_CENTERED,505.0,485,5.0,1.0,7.0,1.0,1.0,0.0,,,
86f00804,SIGN96_CENTERED,,503,26.0,1.0,30.0,1.0,1.0,0.0,,,
86f00804,ITQ96_CENTERED,101.0,503,12.0,1.0,16.0,1.0,1.0,0.0,,,
86f00804,ITQ96_CENTERED,202.0,503,15.0,1.0,18.0,1.0,1.0,0.0,,,
86f00804,ITQ96_CENTERED,303.0,503,16.0,2.0,17.0,1.0,1.0,0.0,,,
86f00804,ITQ96_CENTERED,404.0,503,16.0,1.0,18.0,1.0,1.0,0.0,,,
86f00804,ITQ96_CENTERED,505.0,503,15.0,1.0,18.0,2.0,1.0,1.0,,,
8752c811,SIGN96_CENTERED,,493,17.0,1.0,23.0,1.0,1.0,0.0,,,
8752c811,ITQ96_CENTERED,101.0,493,7.0,1.0,14.0,1.0,1.0,0.0,,,
8752c811,ITQ96_CENTERED,202.0,493,10.0,2.0,11.0,1.0,1.0,0.0,,,
8752c811,ITQ96_CENTERED,303.0,493,6.0,1.0,10.0,1.0,1.0,0.0,,,
8752c811,ITQ96_CENTERED,404.0,493,8.0,1.0,11.0,1.0,1.0,0.0,,,
8752c811,ITQ96_CENTERED,505.0,493,9.0,1.0,11.0,1.0,1.0,0.0,,,
87f22b4a,SIGN96_CENTERED,,474,23.0,1.0,32.0,3.0,1.0,1.0,,,
87f22b4a,ITQ96_CENTERED,101.0,474,19.0,1.0,24.0,1.0,1.0,0.0,,,
87f22b4a,ITQ96_CENTERED,202.0,474,24.0,1.0,27.0,5.0,1.0,1.0,,,
87f22b4a,ITQ96_CENTERED,303.0,474,19.0,1.0,23.0,2.0,2.0,0.0,,,
87f22b4a,ITQ96_CENTERED,404.0,474,17.0,1.0,20.0,2.0,1.0,1.0,,,
87f22b4a,ITQ96_CENTERED,505.0,474,22.0,1.0,27.0,6.0,1.0,1.0,,,
88432d0a,SIGN96_CENTERED,,479,34.0,1.0,36.0,3.0,1.0,1.0,,,
88432d0a,ITQ96_CENTERED,101.0,479,19.0,1.0,21.0,2.0,1.0,1.0,,,
88432d0a,ITQ96_CENTERED,202.0,479,23.0,2.0,24.0,2.0,1.0,1.0,,,
88432d0a,ITQ96_CENTERED,303.0,479,19.0,1.0,21.0,2.0,1.0,1.0,,,
88432d0a,ITQ96_CENTERED,404.0,479,25.0,1.0,27.0,1.0,1.0,0.0,,,
88432d0a,ITQ96_CENTERED,505.0,479,26.0,2.0,27.0,3.0,1.0,1.0,,,
89527b6b,SIGN96_CENTERED,,467,16.0,1.0,31.0,1.0,1.0,0.0,,,
89527b6b,ITQ96_CENTERED,101.0,467,17.0,1.0,26.0,1.0,1.0,0.0,,,
89527b6b,ITQ96_CENTERED,202.0,467,17.0,1.0,29.0,1.0,1.0,0.0,,,
89527b6b,ITQ96_CENTERED,303.0,467,14.0,1.0,29.0,1.0,1.0,0.0,,,
89527b6b,ITQ96_CENTERED,404.0,467,18.0,1.0,28.0,2.0,1.0,1.0,,,
89527b6b,ITQ96_CENTERED,505.0,467,20.0,1.0,28.0,2.0,1.0,1.0,,,
8979f9ec,SIGN96_CENTERED,,469,19.0,1.0,32.0,2.0,1.0,1.0,,,
8979f9ec,ITQ96_CENTERED,101.0,469,12.0,1.0,21.0,5.0,1.0,1.0,,,
8979f9ec,ITQ96_CENTERED,202.0,469,15.0,3.0,15.0,3.0,3.0,0.0,,,
8979f9ec,ITQ96_CENTERED,303.0,469,14.0,1.0,18.0,1.0,1.0,0.0,,,
8979f9ec,ITQ96_CENTERED,404.0,469,14.0,1.0,17.0,1.0,1.0,0.0,,,
8979f9ec,ITQ96_CENTERED,505.0,469,17.0,1.0,19.0,2.0,1.0,1.0,,,
89941a93,SIGN96_CENTERED,,528,27.0,1.0,32.0,2.0,2.0,0.0,,,
89941a93,ITQ96_CENTERED,101.0,528,14.0,1.0,16.0,1.0,1.0,0.0,,,
89941a93,ITQ96_CENTERED,202.0,528,16.0,4.0,16.0,4.0,3.0,1.0,,,
89941a93,ITQ96_CENTERED,303.0,528,11.0,2.0,13.0,2.0,1.0,1.0,,,
89941a93,ITQ96_CENTERED,404.0,528,11.0,1.0,13.0,3.0,1.0,1.0,,,
89941a93,ITQ96_CENTERED,505.0,528,13.0,1.0,14.0,2.0,2.0,0.0,,,
89941a94,SIGN96_CENTERED,,523,20.0,1.0,28.0,1.0,1.0,0.0,,,
89941a94,ITQ96_CENTERED,101.0,523,8.0,1.0,16.0,1.0,1.0,0.0,,,
89941a94,ITQ96_CENTERED,202.0,523,10.0,1.0,13.0,2.0,2.0,0.0,,,
89941a94,ITQ96_CENTERED,303.0,523,7.0,1.0,13.0,1.0,1.0,0.0,,,
89941a94,ITQ96_CENTERED,404.0,523,7.0,1.0,12.0,1.0,1.0,0.0,,,
89941a94,ITQ96_CENTERED,505.0,523,12.0,1.0,13.0,3.0,2.0,1.0,,,
8a137a7f,SIGN96_CENTERED,,512,20.0,1.0,24.0,1.0,1.0,0.0,,,
8a137a7f,ITQ96_CENTERED,101.0,512,3.0,1.0,8.0,2.0,1.0,1.0,,,
8a137a7f,ITQ96_CENTERED,202.0,512,7.0,2.0,8.0,2.0,1.0,1.0,,,
8a137a7f,ITQ96_CENTERED,303.0,512,6.0,1.0,11.0,1.0,1.0,0.0,,,
8a137a7f,ITQ96_CENTERED,404.0,512,6.0,1.0,8.0,3.0,2.0,1.0,,,
8a137a7f,ITQ96_CENTERED,505.0,512,3.0,1.0,8.0,3.0,1.0,1.0,,,
8a2466db,SIGN96_CENTERED,,508,26.0,1.0,27.0,2.0,2.0,0.0,,,
8a2466db,ITQ96_CENTERED,101.0,508,28.0,2.0,29.0,2.0,1.0,1.0,,,
8a2466db,ITQ96_CENTERED,202.0,508,28.0,3.0,28.0,3.0,3.0,0.0,,,
